stime,flgs,proto,sport,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,attack_category
1529283982,1000,100,138,138,4,986,1000,1529285063,15,1080.378906,0,0,0,0,0,4,0,986,0,0.002777,0.002777,0,0,Normal
1529283953,1000,200,60864,443,12,1053,2000,1529284065,12,112.047569,0.024268,0.015937,0.072805,0.005787,0.044681,8,4,697,356,0.098173,0.062473,0.026774,0,Normal
1529284104,1000,100,138,138,4,1086,1000,1529284835,23,731.272095,0.000104,4.00E-06,0.000209,0.000101,0.000108,4,0,1086,0,0.004102,0.004102,0,0,Normal
1529283913,1000,300,40279,135,26,1560,3000,1529285076,10,1162.980103,0.000121,2.70E-05,0.001569,8.20E-05,0.000164,13,13,780,780,0.021496,0.010318,0.010318,1,Data_Exfiltration
1529284204,1000,200,36682,22,28,5098,2000,1529284204,30,0.489598,0.489598,0,0.489598,0.489598,0.489598,13,15,1640,3458,55.147282,24.509903,28.594887,1,Data_Exfiltration
1529284204,1000,200,36684,22,31,5472,2000,1529284208,31,3.207045,3.207045,0,3.207045,3.207045,3.207045,14,17,1802,3670,9.354405,4.053576,4.989016,1,Data_Exfiltration
1529284204,1000,200,36686,22,32,5538,2000,1529284207,32,2.738534,2.738534,0,2.738534,2.738534,2.738534,15,17,1868,3670,11.319925,5.112224,5.842542,1,Data_Exfiltration
1529284204,1000,200,36688,22,31,5472,2000,1529284207,33,2.73911,2.73911,0,2.73911,2.73911,2.73911,14,17,1802,3670,10.952463,4.746067,5.841313,1,Data_Exfiltration
1529284204,1000,200,36690,22,32,5538,2000,1529284207,34,2.740962,2.740962,0,2.740962,2.740962,2.740962,15,17,1868,3670,11.309897,5.107696,5.837367,1,Data_Exfiltration
1529284204,1000,200,36692,22,31,5472,2000,1529284207,35,2.742069,2.742069,0,2.742069,2.742069,2.742069,14,17,1802,3670,10.940643,4.740946,5.83501,1,Data_Exfiltration
1529284204,1000,200,36694,22,32,5538,2000,1529284207,36,2.74254,2.74254,0,2.74254,2.74254,2.74254,15,17,1868,3670,11.303391,5.104757,5.834008,1,Data_Exfiltration
1529284204,1000,200,36696,22,31,5472,2000,1529284207,37,2.737259,2.737259,0,2.737259,2.737259,2.737259,14,17,1802,3670,10.959869,4.749277,5.845263,1,Data_Exfiltration
1529284204,1000,200,36698,22,33,5604,2000,1529284207,38,2.739911,2.739911,0,2.739911,2.739911,2.739911,15,18,1868,3736,11.679211,5.109655,6.204581,1,Data_Exfiltration
1529284204,1000,200,36700,22,32,5538,2000,1529284207,39,2.739175,2.739175,0,2.739175,2.739175,2.739175,15,17,1868,3670,11.317276,5.111028,5.841175,1,Data_Exfiltration
